question,article_number,article_orig,index
ما الذي يجب أن يتضمنه التقرير السنوي الذي يقدمه صاحب العمل للوزارة عن حالة العمل؟,25,"13 
على كل صاحب عمل أن يرسل إلى الوزارة ما يأتي : 
1. بياناً بالأعمال الشـاغرة والمسـتحدثة ، وأنواعها ، ومكانها ، والأجر المخصـص لها ، والشـروط اللازم  توافرها لشـغلها ، وذلك في مدة لا 

تتجاوز خمسة عشر يوماً من تاريخ شغورها أو استحداثها . 

2. إشعاراً بما اتخذه  بشأن توظيف المواطن الذي رشحته قنوات التوظيف خلال سبعة أيام من تاريخ تسلّم خطاب الترشيح . 
3. بياناً بأسـماء عماله ، ووظائفهم ، ومهنهم ، وأجورهم ، وأعمارهم ، وجنسـياتهم ، وأرقام رخص العمل لغير السـعوديين وتواريخها وغير 

ذلك من البيانات التي تحددها اللائحة . 

4. تقريراً عن حالة العمل وظروفه وطبيعته ، والنقص والزيادة في الأعمال المتوقعة خلال السنة التالية لتاريخ التقرير. 
5. ترسل البيانات المشار إليها في الفقرتين 3، 4 من هذه المادة خلال شهر محرم من كل عام.",26
خلال أي شهر من السنة يجب إرسال بعض البيانات المطلوبة من صاحب العمل إلى الوزارة؟,25,"13 
على كل صاحب عمل أن يرسل إلى الوزارة ما يأتي : 
1. بياناً بالأعمال الشـاغرة والمسـتحدثة ، وأنواعها ، ومكانها ، والأجر المخصـص لها ، والشـروط اللازم  توافرها لشـغلها ، وذلك في مدة لا 

تتجاوز خمسة عشر يوماً من تاريخ شغورها أو استحداثها . 

2. إشعاراً بما اتخذه  بشأن توظيف المواطن الذي رشحته قنوات التوظيف خلال سبعة أيام من تاريخ تسلّم خطاب الترشيح . 
3. بياناً بأسـماء عماله ، ووظائفهم ، ومهنهم ، وأجورهم ، وأعمارهم ، وجنسـياتهم ، وأرقام رخص العمل لغير السـعوديين وتواريخها وغير 

ذلك من البيانات التي تحددها اللائحة . 

4. تقريراً عن حالة العمل وظروفه وطبيعته ، والنقص والزيادة في الأعمال المتوقعة خلال السنة التالية لتاريخ التقرير. 
5. ترسل البيانات المشار إليها في الفقرتين 3، 4 من هذه المادة خلال شهر محرم من كل عام.",26
ما هو الحد الأدنى لنسبة العمال السعوديين في أي منشأة حسب المادة السادسة والعشرون من نظام العمل السعودي؟,26,"1. على جميع المنشـــآت في مختلف أنشـــطتها ، وأياً كان عدد العاملين فيها ، العمل على إســـتقطاب الســـعوديين وتوظيفهم ، وتوفير 

وســائل اســتمرارهم في العمل ، وإتاحة الفرصــة المناســبة لهم لإثبات صــلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم 
للأعمال الموكولة إليهم . 

2. يجب الاّ تقل  نســب العمال الســعوديين الذين  يســتخدمهم  صــاحب العمل  عن 75 % من مجموع عماله وللوزير في حالة عدم توافر 

الكفايات الفنية أو المؤهلات الدراسية ، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتاً.",27
وفقاً للمادة السادسة والعشرون، هل يمكن للوزير خفض نسبة العمال السعوديين المطلوبة في حالة عدم توفر الكفاءات الفنية؟,26,"1. على جميع المنشـــآت في مختلف أنشـــطتها ، وأياً كان عدد العاملين فيها ، العمل على إســـتقطاب الســـعوديين وتوظيفهم ، وتوفير 

وســائل اســتمرارهم في العمل ، وإتاحة الفرصــة المناســبة لهم لإثبات صــلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم 
للأعمال الموكولة إليهم . 

2. يجب الاّ تقل  نســب العمال الســعوديين الذين  يســتخدمهم  صــاحب العمل  عن 75 % من مجموع عماله وللوزير في حالة عدم توافر 

الكفايات الفنية أو المؤهلات الدراسية ، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتاً.",27
ما هي الالتزامات المطلوبة من المنشآت تجاه العاملين السعوديين بحسب المادة السادسة والعشرون من النظام؟,26,"1. على جميع المنشـــآت في مختلف أنشـــطتها ، وأياً كان عدد العاملين فيها ، العمل على إســـتقطاب الســـعوديين وتوظيفهم ، وتوفير 

وســائل اســتمرارهم في العمل ، وإتاحة الفرصــة المناســبة لهم لإثبات صــلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم 
للأعمال الموكولة إليهم . 

2. يجب الاّ تقل  نســب العمال الســعوديين الذين  يســتخدمهم  صــاحب العمل  عن 75 % من مجموع عماله وللوزير في حالة عدم توافر 

الكفايات الفنية أو المؤهلات الدراسية ، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتاً.",27
بحسب المادة السادسة والعشرون، ما الهدف من توفير وسائل استمرارية العاملين السعوديين في المنشأة؟,26,"1. على جميع المنشـــآت في مختلف أنشـــطتها ، وأياً كان عدد العاملين فيها ، العمل على إســـتقطاب الســـعوديين وتوظيفهم ، وتوفير 

وســائل اســتمرارهم في العمل ، وإتاحة الفرصــة المناســبة لهم لإثبات صــلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم 
للأعمال الموكولة إليهم . 

2. يجب الاّ تقل  نســب العمال الســعوديين الذين  يســتخدمهم  صــاحب العمل  عن 75 % من مجموع عماله وللوزير في حالة عدم توافر 

الكفايات الفنية أو المؤهلات الدراسية ، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتاً.",27
كيف تشجع المادة السادسة والعشرون توظيف السعوديين في مختلف الأنشطة الاقتصادية؟,26,"1. على جميع المنشـــآت في مختلف أنشـــطتها ، وأياً كان عدد العاملين فيها ، العمل على إســـتقطاب الســـعوديين وتوظيفهم ، وتوفير 

وســائل اســتمرارهم في العمل ، وإتاحة الفرصــة المناســبة لهم لإثبات صــلاحيتهم للعمل عن طريق توجيههم وتدريبهم وتأهيلهم 
للأعمال الموكولة إليهم . 

2. يجب الاّ تقل  نســب العمال الســعوديين الذين  يســتخدمهم  صــاحب العمل  عن 75 % من مجموع عماله وللوزير في حالة عدم توافر 

الكفايات الفنية أو المؤهلات الدراسية ، أو تعذر إشغال الوظائف بالمواطنين أن يخفض هذه النسبة مؤقتاً.",27
ما هي الشروط التي يمكن أن يفرضها الوزير على أصحاب العمل عند توظيف العمال؟,27,"14 
للوزير عند الاقتضـــاء أن يلزم أصـــحاب العمل – في بعض النشـــاطات والمهن وفي بعض المناطق والمحافظات – بعدم توظيف العمال إلا 
بعد تسجيلهم في قنوات التوظيف بالشروط والأوضاع التي يحددها بقرار منه. 

 

10- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
11- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
12- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
13- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
14- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 

 
8",28
هل يجب على أصحاب العمل في مناطق معينة تسجيل الموظفين في قنوات التوظيف؟,27,"14 
للوزير عند الاقتضـــاء أن يلزم أصـــحاب العمل – في بعض النشـــاطات والمهن وفي بعض المناطق والمحافظات – بعدم توظيف العمال إلا 
بعد تسجيلهم في قنوات التوظيف بالشروط والأوضاع التي يحددها بقرار منه. 

 

10- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
11- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
12- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
13- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
14- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 

 
8",28
ما هي الأوضاع التي يمكن فيها للوزير إلزام أصحاب الأعمال بتسجيل الموظفين في قنوات التوظيف؟,27,"14 
للوزير عند الاقتضـــاء أن يلزم أصـــحاب العمل – في بعض النشـــاطات والمهن وفي بعض المناطق والمحافظات – بعدم توظيف العمال إلا 
بعد تسجيلهم في قنوات التوظيف بالشروط والأوضاع التي يحددها بقرار منه. 

 

10- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
11- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
12- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
13- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
14- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 

 
8",28
كيف يمكن تعديل الشروط التي يفرضها الوزير على أصحاب العمل بقرار منه؟,27,"14 
للوزير عند الاقتضـــاء أن يلزم أصـــحاب العمل – في بعض النشـــاطات والمهن وفي بعض المناطق والمحافظات – بعدم توظيف العمال إلا 
بعد تسجيلهم في قنوات التوظيف بالشروط والأوضاع التي يحددها بقرار منه. 

 

10- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
11- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
12- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
13- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
14- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 

 
8",28
هل هناك تحديثات أو تعديلات تمت على الفقرة المتعلقة بتوظيف العمال بناءً على المراسيم الملكية؟,27,"14 
للوزير عند الاقتضـــاء أن يلزم أصـــحاب العمل – في بعض النشـــاطات والمهن وفي بعض المناطق والمحافظات – بعدم توظيف العمال إلا 
بعد تسجيلهم في قنوات التوظيف بالشروط والأوضاع التي يحددها بقرار منه. 

 

10- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
11- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
12- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
13- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
14- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 

 
8",28
ما هو الحد الأدنى لنسبة تشغيل ذوي الإعاقة المؤهلين مهنيًّا في الشركات التي لديها 25 موظفًا أو أكثر حسب نظام العمل السعودي؟,28,"15 
على كل صـاحب عمل يسـتخدم خمسـة وعشـرين عاملاً فأكثر، وكانت طبيعة العمل لديه تمكنه من تشـغيل ذوي الإعاقة الذين تم تأهيلهم 
مهنيًّا أن يشـغل 4% على الأقل من مجموع عدد عماله من ذوي الإعاقة المؤهلين مهنيًّا، سـواء أكان ذلك عن طريق ترشـيح قنوات التوظيف 
أو غيرها.   
وعليه أن يرسل إلى الوزارة بيانًا بعدد الوظائف والأعمال التي يشغلها ذوو الإعاقة الذين تم تأهيلهم مهنيًّا، وأجر كل منهم.",29
إذا كان لدى صاحب العمل 25 موظفًا أو أكثر، ما هي النسبة المحددة لتوظيف ذوي الإعاقة وفقًا للمادة 15؟,28,"15 
على كل صـاحب عمل يسـتخدم خمسـة وعشـرين عاملاً فأكثر، وكانت طبيعة العمل لديه تمكنه من تشـغيل ذوي الإعاقة الذين تم تأهيلهم 
مهنيًّا أن يشـغل 4% على الأقل من مجموع عدد عماله من ذوي الإعاقة المؤهلين مهنيًّا، سـواء أكان ذلك عن طريق ترشـيح قنوات التوظيف 
أو غيرها.   
وعليه أن يرسل إلى الوزارة بيانًا بعدد الوظائف والأعمال التي يشغلها ذوو الإعاقة الذين تم تأهيلهم مهنيًّا، وأجر كل منهم.",29
ما الإجراءات التي يجب أن يتخذها صاحب العمل لإبلاغ الوزارة عن الموظفين من ذوي الإعاقة المؤهلين مهنيًّا؟,28,"15 
على كل صـاحب عمل يسـتخدم خمسـة وعشـرين عاملاً فأكثر، وكانت طبيعة العمل لديه تمكنه من تشـغيل ذوي الإعاقة الذين تم تأهيلهم 
مهنيًّا أن يشـغل 4% على الأقل من مجموع عدد عماله من ذوي الإعاقة المؤهلين مهنيًّا، سـواء أكان ذلك عن طريق ترشـيح قنوات التوظيف 
أو غيرها.   
وعليه أن يرسل إلى الوزارة بيانًا بعدد الوظائف والأعمال التي يشغلها ذوو الإعاقة الذين تم تأهيلهم مهنيًّا، وأجر كل منهم.",29
ما هي المتطلبات المفروضة على أصحاب العمل بشأن تشغيل ذوي الإعاقة في حالة وجود 25 موظف أو أكثر؟,28,"15 
على كل صـاحب عمل يسـتخدم خمسـة وعشـرين عاملاً فأكثر، وكانت طبيعة العمل لديه تمكنه من تشـغيل ذوي الإعاقة الذين تم تأهيلهم 
مهنيًّا أن يشـغل 4% على الأقل من مجموع عدد عماله من ذوي الإعاقة المؤهلين مهنيًّا، سـواء أكان ذلك عن طريق ترشـيح قنوات التوظيف 
أو غيرها.   
وعليه أن يرسل إلى الوزارة بيانًا بعدد الوظائف والأعمال التي يشغلها ذوو الإعاقة الذين تم تأهيلهم مهنيًّا، وأجر كل منهم.",29
كيف يجب على صاحب العمل توثيق أماكن العمل وأجور موظفيه من ذوي الإعاقة وإبلاغ الوزارة بها؟,28,"15 
على كل صـاحب عمل يسـتخدم خمسـة وعشـرين عاملاً فأكثر، وكانت طبيعة العمل لديه تمكنه من تشـغيل ذوي الإعاقة الذين تم تأهيلهم 
مهنيًّا أن يشـغل 4% على الأقل من مجموع عدد عماله من ذوي الإعاقة المؤهلين مهنيًّا، سـواء أكان ذلك عن طريق ترشـيح قنوات التوظيف 
أو غيرها.   
وعليه أن يرسل إلى الوزارة بيانًا بعدد الوظائف والأعمال التي يشغلها ذوو الإعاقة الذين تم تأهيلهم مهنيًّا، وأجر كل منهم.",29
ماذا يجب على صاحب العمل القيام به إذا أصيب عامل بإصابة عمل نتج عنها نقص في قدراته يمنعه من أداء عمله السابق؟,29,"إذا أصــيب أي عامل إصــابة عمل نتج عنها نقص في قدراته المعتادة لا يمنعه من أداء عمل آخر غير عمله الســابق، فإن على صــاحب العمل 
الـذي وقعـت إصـــابـة العـامـل بســـبـب العمـل لـديـه توظيفـه في العمـل المنـاســـب بـالأجر المحـدد لهـذا العمـل. ولا يخـل هـذا بمـا يســـتحقـه من 
تعويض عن إصابته. 
 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

15- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
 

 
9",30
هل يحق للعامل الحصول على تعويض عن إصابة العمل إذا تم نقله إلى عمل آخر بسببها؟,29,"إذا أصــيب أي عامل إصــابة عمل نتج عنها نقص في قدراته المعتادة لا يمنعه من أداء عمل آخر غير عمله الســابق، فإن على صــاحب العمل 
الـذي وقعـت إصـــابـة العـامـل بســـبـب العمـل لـديـه توظيفـه في العمـل المنـاســـب بـالأجر المحـدد لهـذا العمـل. ولا يخـل هـذا بمـا يســـتحقـه من 
تعويض عن إصابته. 
 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

15- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
 

 
9",30
ما هي مسؤولية صاحب العمل تجاه العامل الذي أصيب إصابة عمل بسبب العمل لديه؟,29,"إذا أصــيب أي عامل إصــابة عمل نتج عنها نقص في قدراته المعتادة لا يمنعه من أداء عمل آخر غير عمله الســابق، فإن على صــاحب العمل 
الـذي وقعـت إصـــابـة العـامـل بســـبـب العمـل لـديـه توظيفـه في العمـل المنـاســـب بـالأجر المحـدد لهـذا العمـل. ولا يخـل هـذا بمـا يســـتحقـه من 
تعويض عن إصابته. 
 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

15- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
 

 
9",30
في حال أصيب عامل إصابة عمل، هل يجب على صاحب العمل توفير عمل مناسب له بخصوص أجر جديد؟,29,"إذا أصــيب أي عامل إصــابة عمل نتج عنها نقص في قدراته المعتادة لا يمنعه من أداء عمل آخر غير عمله الســابق، فإن على صــاحب العمل 
الـذي وقعـت إصـــابـة العـامـل بســـبـب العمـل لـديـه توظيفـه في العمـل المنـاســـب بـالأجر المحـدد لهـذا العمـل. ولا يخـل هـذا بمـا يســـتحقـه من 
تعويض عن إصابته. 
 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

15- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
 

 
9",30
هل يحتوي القانون على أي تعديل بخصوص معالجة إصابات العمل للعامل في مكان العمل؟,29,"إذا أصــيب أي عامل إصــابة عمل نتج عنها نقص في قدراته المعتادة لا يمنعه من أداء عمل آخر غير عمله الســابق، فإن على صــاحب العمل 
الـذي وقعـت إصـــابـة العـامـل بســـبـب العمـل لـديـه توظيفـه في العمـل المنـاســـب بـالأجر المحـدد لهـذا العمـل. ولا يخـل هـذا بمـا يســـتحقـه من 
تعويض عن إصابته. 
 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

15- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 
 

 
9",30
question1,30,"16 
1- لا يجوز لأي شـخص طبيعي أو اعتباري أن يمارس نشـاط توظيف السـعوديين أو نشـاط اسـتقدام العمال أو نشـاط الإسـناد ما لم يكن مرخصـاً 
له بذلك من الوزارة. 
وتحدد اللائحة ضـــوابط ممارســـة كل من هذه الأنشـــطة، وشـــروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم 
تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها.  
2- تقترح الوزارة قيمة رســوم ممارســة الأنشــطة المشــار إليها في الفقرة )1( من هذه المادة، وأوجه صــرفها، تمهيداً لاســتكمال الإجراءات 
النظامية في هذا الشأن"".",31
question2,30,"16 
1- لا يجوز لأي شـخص طبيعي أو اعتباري أن يمارس نشـاط توظيف السـعوديين أو نشـاط اسـتقدام العمال أو نشـاط الإسـناد ما لم يكن مرخصـاً 
له بذلك من الوزارة. 
وتحدد اللائحة ضـــوابط ممارســـة كل من هذه الأنشـــطة، وشـــروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم 
تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها.  
2- تقترح الوزارة قيمة رســوم ممارســة الأنشــطة المشــار إليها في الفقرة )1( من هذه المادة، وأوجه صــرفها، تمهيداً لاســتكمال الإجراءات 
النظامية في هذا الشأن"".",31
question3,30,"16 
1- لا يجوز لأي شـخص طبيعي أو اعتباري أن يمارس نشـاط توظيف السـعوديين أو نشـاط اسـتقدام العمال أو نشـاط الإسـناد ما لم يكن مرخصـاً 
له بذلك من الوزارة. 
وتحدد اللائحة ضـــوابط ممارســـة كل من هذه الأنشـــطة، وشـــروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم 
تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها.  
2- تقترح الوزارة قيمة رســوم ممارســة الأنشــطة المشــار إليها في الفقرة )1( من هذه المادة، وأوجه صــرفها، تمهيداً لاســتكمال الإجراءات 
النظامية في هذا الشأن"".",31
question4,30,"16 
1- لا يجوز لأي شـخص طبيعي أو اعتباري أن يمارس نشـاط توظيف السـعوديين أو نشـاط اسـتقدام العمال أو نشـاط الإسـناد ما لم يكن مرخصـاً 
له بذلك من الوزارة. 
وتحدد اللائحة ضـــوابط ممارســـة كل من هذه الأنشـــطة، وشـــروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم 
تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها.  
2- تقترح الوزارة قيمة رســوم ممارســة الأنشــطة المشــار إليها في الفقرة )1( من هذه المادة، وأوجه صــرفها، تمهيداً لاســتكمال الإجراءات 
النظامية في هذا الشأن"".",31
question5,30,"16 
1- لا يجوز لأي شـخص طبيعي أو اعتباري أن يمارس نشـاط توظيف السـعوديين أو نشـاط اسـتقدام العمال أو نشـاط الإسـناد ما لم يكن مرخصـاً 
له بذلك من الوزارة. 
وتحدد اللائحة ضـــوابط ممارســـة كل من هذه الأنشـــطة، وشـــروط منح الترخيص لكل منها وتجديده، والتزامات المرخص له، وقواعد عدم 
تجديد الترخيص أو إلغائه، والآثار المترتبة على ذلك، وغير ذلك مما يكون ضروريًّا من الشروط والضوابط لضمان حسن سير العمل بها.  
2- تقترح الوزارة قيمة رســوم ممارســة الأنشــطة المشــار إليها في الفقرة )1( من هذه المادة، وأوجه صــرفها، تمهيداً لاســتكمال الإجراءات 
النظامية في هذا الشأن"".",31
ما هي العلاقة التعاقدية بين العمال الذين تم توظيفهم عبر مكاتب أو شركات وبين صاحب العمل وفقًا للمادة السابعة عشرة من نظام العمل السعودي؟,31,"17 
يُعدّ العمال الســعوديون الذين أســهمت المكاتب أو الشــركات في توظيفهم، والعمال الذين إســتقدمتهم نيابة عن أصــحاب العمل؛ عمالاً 
لدى صاحب العمل، ويرتبطون به بعلاقة عقدية مباشرة.   

 

16- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 

71- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 

 
10 

 
 
 
 

 

 

03",32
هل يكون العمال السعوديون المستقدمون من قبل مكاتب التوظيف عمالًا مباشرين لدى صاحب العمل وفقًا للمادة السابعة عشرة؟,31,"17 
يُعدّ العمال الســعوديون الذين أســهمت المكاتب أو الشــركات في توظيفهم، والعمال الذين إســتقدمتهم نيابة عن أصــحاب العمل؛ عمالاً 
لدى صاحب العمل، ويرتبطون به بعلاقة عقدية مباشرة.   

 

16- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 

71- ﻋﺪﻟﺖ ﻫﺬه اﳌﺎدة ﺑﻨﺎءً� ﻋلى اﳌﺮﺳﻮم اﳌﻠكى�� رﻗﻢ )م/44( ﺑﺘﺎرﻳﺦ 8/2/1446ﻫـ 

 
10 

 
 
 
 

 

 

03",32
